airport_code,airport_name,city,latitude,longitude
AEG,Aek Godang Airport,Padang Sidempuan,1.4001,99.430496
AMI,Selaparang Airport,Mataram,-8.560709953309999,116.095001221
AMQ,"Pattimura Airport, Ambon",Ambon,-3.7102599144,128.089004517
ARD,Mali Airport,Alor Island,-8.132340431213379,124.59700012207031
AYW,Ayawasi Airport,Ayawasi,-1.1593,132.4633
BDJ,Syamsudin Noor Airport,Banjarmasin,-3.4423599243164062,114.76300048828125
BDO,Husein Sastranegara International Airport,Bandung,-6.900629997253418,107.57599639892578
BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,2.1555,117.431999
BIK,Frans Kaisiepo Airport,Biak,-1.190019965171814,136.10800170898438
BJW,Bajawa Soa Airport,Bajawa,-8.70743498008,121.057426929
BKS,Fatmawati Soekarno Airport,Bengkulu,-3.8637,102.338997
BMU,Muhammad Salahuddin Airport,Bima,-8.5396499633789,118.68699645996
BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,-1.26827001572,116.893997192
BTH,Hang Nadim International Airport,Batam,1.12102997303,104.119003296
BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,5.522872024010001,95.42063713070002
BTW,Batu Licin Airport,Batu Licin,-3.4124100208300003,115.995002747
BUI,Bokondini Airport,Bokondini-Papua Island,-3.6822,138.6755
BUU,Muara Bungo Airport,Muara Bungo,-1.1278,102.135
BUW,Betoambari Airport,Bau-Bau,-5.486879825592041,122.56900024414062
BWX,Blimbingsari Airport,Banyuwangi,-8.31015,114.3401
BXB,Babo Airport,Babo,-2.5322399139404297,133.43899536132812
BYQ,Bunyu Airport,Bunyu,3.45571994781,117.866996765
CBN,Penggung Airport,Cirebon,-6.756140232090001,108.540000916
CGK,Soekarno-Hatta International Airport,Jakarta,-6.1255698204,106.65599823
CJN,Nusawiru Airport,Nusawiru,-7.719895,108.488995
CXP,Tunggul Wulung Airport,Cilacap,-7.645060062410001,109.033996582
DEX,Nop Goliat Airport,Dekai,-4.8557,139.482006
DJB,Sultan Thaha Airport,Jambi,-1.6380200386047363,103.64399719238281
DJJ,Sentani International Airport,Jayapura,-2.5769500733,140.5160064698
DOB,Rar Gwamar Airport,Dobo,-5.7722201347399995,134.212005615
DPS,Ngurah Rai (Bali) International Airport,Denpasar,-8.7481698989868,115.16699981689
DTB,Silangit Airport,Siborong-Borong,2.25973,98.991898
DTD,Datadawai Airport,Datadawai-Borneo Island,0.8106,114.5306
DUM,Pinang Kampai Airport,Dumai,1.60919,101.433998
ENE,Ende (H Hasan Aroeboesman) Airport,Ende,-8.8492898941,121.661003113
FKQ,Fakfak Airport,Fak Fak,-2.9201900959014893,132.26699829101562
FLZ,Dr Ferdinand Lumban Tobing Airport,Sibolga,1.55594,98.888901
GNS,Binaka Airport,Gunung Sitoli,1.16638,97.704697
GTO,Jalaluddin Airport,Gorontalo,0.63711899519,122.849998474
HLP,Halim Perdanakusuma International Airport,Jakarta,-6.266610145568848,106.89099884033203
ILA,Illaga Airport,Illaga,-3.97648,137.6225
JOG,Adi Sutjipto International Airport,Yogyakarta,-7.788179874420166,110.43199920654297
