airline_code,origin_airport_code,dest_airport_code
GA,AMQ,CGK
GA,AMQ,SUB
GA,AMQ,UPG
GA,BDJ,CGK
GA,BDJ,SUB
GA,BDO,DPS
GA,BDO,SUB
GA,BEJ,BPN
GA,BIK,DJJ
GA,BIK,UPG
GA,BKS,CGK
GA,BMU,DPS
GA,BMU,LOP
GA,BPN,BEJ
GA,BPN,CGK
GA,BPN,JOG
GA,BPN,MDC
GA,BPN,SUB
GA,BPN,TRK
GA,BPN,UPG
GA,BTH,CGK
GA,BTH,TKG
GA,BTJ,CGK
GA,CGK,AMQ
GA,CGK,BDJ
GA,CGK,BKS
GA,CGK,BPN
GA,CGK,BTH
GA,CGK,BTJ
GA,CGK,DJB
GA,CGK,DJJ
GA,CGK,DPS
GA,CGK,JOG
GA,CGK,LOP
GA,CGK,MDC
GA,CGK,MLG
GA,CGK,PDG
GA,CGK,PGK
GA,CGK,PKU
GA,CGK,PKY
GA,CGK,PLM
GA,CGK,PLW
GA,CGK,PNK
GA,CGK,SOC
GA,CGK,SRG
GA,CGK,SUB
GA,CGK,TJQ
GA,CGK,TKG
GA,CGK,TNJ
GA,CGK,TTE
GA,CGK,UPG
GA,DJB,CGK
GA,DJJ,BIK
GA,DJJ,CGK
GA,DJJ,MKQ
GA,DJJ,MKW
GA,DJJ,TIM
GA,DJJ,UPG
GA,DPS,BDO
GA,DPS,BMU
GA,DPS,CGK
GA,DPS,JOG
GA,DPS,KOE
GA,DPS,LBJ
GA,DPS,LOP
GA,DPS,PLM
GA,DPS,SRG
GA,DPS,SUB
GA,DPS,TIM
GA,DPS,TMC
GA,DPS,UPG
GA,ENE,KOE
GA,ENE,LBJ
GA,GTO,UPG
GA,JOG,BPN
GA,JOG,CGK
GA,JOG,DPS
GA,JOG,UPG
GA,KDI,UPG
GA,KOE,DPS
GA,KOE,ENE
GA,KOE,LOP
GA,KOE,TMC
GA,LBJ,DPS
GA,LBJ,ENE
GA,LOP,BMU
GA,LOP,CGK
GA,LOP,DPS
GA,LOP,KOE
GA,LOP,SUB
GA,LOP,UPG
GA,MDC,BPN
GA,MDC,CGK
GA,MDC,TTE
GA,MDC,UPG
GA,MKQ,DJJ
GA,MKW,DJJ
GA,MKW,SOQ
GA,MLG,CGK
GA,PDG,CGK
GA,PGK,CGK
GA,PKU,CGK
GA,PKY,CGK
GA,PLM,CGK
GA,PLM,DPS
GA,PLW,CGK
GA,PLW,UPG
GA,PNK,CGK
GA,SOC,CGK
GA,SOQ,MKW
GA,SOQ,UPG
GA,SRG,CGK
GA,SRG,DPS
GA,SRG,SUB
GA,SUB,AMQ
GA,SUB,BDJ
GA,SUB,BDO
GA,SUB,BPN
GA,SUB,CGK
GA,SUB,DPS
GA,SUB,LOP
GA,SUB,SRG
GA,SUB,UPG
GA,TIM,DJJ
GA,TIM,DPS
GA,TJQ,CGK
GA,TKG,BTH
GA,TKG,CGK
GA,TMC,DPS
GA,TMC,KOE
GA,TNJ,CGK
GA,TRK,BPN
GA,TTE,CGK
GA,TTE,MDC
GA,TTE,UPG
GA,UPG,AMQ
GA,UPG,BIK
GA,UPG,BPN
GA,UPG,CGK
GA,UPG,DJJ
GA,UPG,DPS
GA,UPG,GTO
GA,UPG,JOG
GA,UPG,KDI
GA,UPG,LOP
GA,UPG,MDC
GA,UPG,PLW
GA,UPG,SOQ
GA,UPG,SUB
GA,UPG,TTE
ID,AMQ,CGK
ID,BPN,CGK
ID,CGK,AMQ
ID,CGK,BPN
ID,CGK,DJJ
ID,CGK,DPS
ID,CGK,JOG
ID,CGK,MDC
ID,CGK,PKU
ID,CGK,SUB
ID,DJJ,CGK
ID,DPS,CGK
ID,JOG,CGK
ID,MDC,CGK
ID,PKU,CGK
ID,SUB,CGK
JT,AMQ,CGK
JT,AMQ,FKQ
JT,AMQ,LUV
JT,AMQ,MKW
JT,AMQ,NBX
JT,AMQ,SOQ
JT,AMQ,SUB
JT,AMQ,UPG
JT,BDJ,BDO
JT,BDJ,BPN
JT,BDJ,CGK
JT,BDJ,JOG
JT,BDJ,SRG
JT,BDJ,SUB
JT,BDO,BDJ
JT,BDO,BTH
JT,BDO,DPS
JT,BDO,JOG
JT,BDO,PKU
JT,BDO,SUB
JT,BEJ,BPN
JT,BKS,BTH
JT,BKS,CGK
JT,BMU,DPS
JT,BPN,BDJ
JT,BPN,BEJ
JT,BPN,BTH
JT,BPN,CGK
JT,BPN,JOG
JT,BPN,MDC
JT,BPN,PLW
JT,BPN,SRG
JT,BPN,SUB
JT,BPN,TRK
JT,BPN,UPG
JT,BTH,BDO
JT,BTH,BKS
JT,BTH,BPN
JT,BTH,CGK
JT,BTH,DJB
JT,BTH,DPS
JT,BTH,JOG
JT,BTH,NTX
JT,BTH,PDG
JT,BTH,PGK
JT,BTH,PKU
JT,BTH,PLM
JT,BTH,PNK
JT,BTH,SRG
JT,BTH,SUB
JT,BTH,TKG
JT,BTJ,CGK
JT,BUW,UPG
JT,BXB,SOQ
JT,CGK,AMQ
JT,CGK,BDJ
JT,CGK,BKS
JT,CGK,BPN
JT,CGK,BTH
JT,CGK,BTJ
JT,CGK,DJB
JT,CGK,DJJ
JT,CGK,DPS
JT,CGK,JOG
JT,CGK,KDI
JT,CGK,LOP
JT,CGK,MDC
JT,CGK,PDG
JT,CGK,PGK
JT,CGK,PKU
JT,CGK,PKY
JT,CGK,PLM
JT,CGK,PLW
JT,CGK,PNK
JT,CGK,SOC
JT,CGK,SRG
JT,CGK,SUB
JT,CGK,TKG
JT,CGK,TNJ
JT,CGK,TRK
JT,CGK,UPG
JT,DJB,BTH
JT,DJB,CGK
JT,DJJ,MKQ
JT,DJJ,NBX
JT,DJJ,UPG
JT,DPS,BDO
JT,DPS,BMU
JT,DPS,BTH
JT,DPS,CGK
JT,DPS,JOG
JT,DPS,KOE
JT,DPS,LBJ
JT,DPS,LOP
JT,DPS,MLG
JT,DPS,MOF
JT,DPS,SRG
JT,DPS,SUB
JT,DPS,TMC
JT,DPS,UPG
JT,DPS,WGP
JT,ENE,KOE
JT,ENE,LBJ
JT,FKQ,KNG
JT,FKQ,MKW
JT,FKQ,SOQ
JT,GTO,MDC
JT,GTO,UPG
JT,JOG,BDJ
JT,JOG,BDO
JT,JOG,BPN
JT,JOG,BTH
JT,JOG,CGK
JT,JOG,DPS
JT,JOG,LOP
JT,JOG,PKU
JT,JOG,SUB
JT,JOG,UPG
JT,KAZ,MDC
JT,KDI,CGK
JT,KDI,UPG
JT,KNG,AMQ
JT,KNG,FKQ
JT,KNG,NBX
JT,KOE,DPS
JT,KOE,ENE
JT,KOE,MOF
JT,KOE,SUB
JT,LBJ,DPS
JT,LBJ,ENE
JT,LOP,CGK
JT,LOP,DPS
JT,LOP,JOG
JT,LOP,SUB
JT,LUV,AMQ
JT,LUW,UPG
JT,MDC,BPN
JT,MDC,CGK
JT,MDC,GTO
JT,MDC,KAZ
JT,MDC,MNA
JT,MDC,NAH
JT,MDC,SOQ
JT,MDC,SUB
JT,MDC,TTE
JT,MDC,UPG
JT,MKQ,DJJ
JT,MKW,AMQ
JT,MKW,FKQ
JT,MLG,DPS
JT,MNA,MDC
JT,MOF,DPS
JT,MOF,KOE
JT,NAH,MDC
JT,NBX,AMQ
JT,NBX,DJJ
JT,NBX,KNG
JT,NTX,BTH
JT,PDG,BTH
JT,PDG,CGK
JT,PGK,BTH
JT,PGK,CGK
JT,PGK,TJQ
JT,PKU,BDO
JT,PKU,BTH
JT,PKU,CGK
JT,PKU,JOG
JT,PKY,CGK
JT,PKY,SUB
JT,PLM,BTH
JT,PLM,CGK
JT,PLM,TKG
JT,PLW,BPN
JT,PLW,CGK
JT,PLW,SUB
JT,PLW,UPG
JT,PNK,BTH
JT,PNK,CGK
JT,PSJ,UPG
JT,SOC,CGK
JT,SOQ,AMQ
JT,SOQ,BXB
JT,SOQ,FKQ
JT,SOQ,MDC
JT,SRG,BDJ
JT,SRG,BPN
JT,SRG,BTH
JT,SRG,CGK
JT,SRG,DPS
JT,SRG,SUB
JT,SUB,AMQ
JT,SUB,BDJ
JT,SUB,BDO
JT,SUB,BPN
JT,SUB,BTH
JT,SUB,CGK
JT,SUB,DPS
JT,SUB,JOG
JT,SUB,KOE
JT,SUB,LOP
JT,SUB,MDC
JT,SUB,PKY
JT,SUB,SRG
JT,SUB,TRK
JT,SUB,UPG
JT,TJQ,PGK
JT,TKG,BTH
JT,TKG,CGK
JT,TMC,DPS
JT,TNJ,CGK
JT,TRK,BPN
JT,TRK,CGK
JT,TRK,SUB
JT,TRK,UPG
JT,TTE,MDC
JT,TTE,UPG
JT,UPG,AMQ
JT,UPG,BPN
JT,UPG,BUW
JT,UPG,CGK
JT,UPG,DJJ
JT,UPG,DPS
JT,UPG,GTO
JT,UPG,JOG
JT,UPG,KDI
JT,UPG,LUW
JT,UPG,MDC
JT,UPG,PLW
JT,UPG,PSJ
JT,UPG,SUB
JT,UPG,TRK
JT,UPG,TTE
JT,WGP,DPS
QG,BDJ,CGK
QG,BDJ,SUB
QG,BDO,DPS
QG,BKS,CGK
QG,BPN,CGK
QG,BPN,DPS
QG,BPN,JOG
QG,BPN,SUB
QG,BPN,UPG
QG,BTH,CGK
QG,BTH,PDG
QG,BTH,PKU
QG,BTH,PLM
QG,BTH,SUB
QG,CGK,BDJ
QG,CGK,BKS
QG,CGK,BPN
QG,CGK,BTH
QG,CGK,DJB
QG,CGK,DPS
QG,CGK,PDG
QG,CGK,PGK
QG,CGK,PKU
QG,CGK,PLM
QG,CGK,SUB
QG,CGK,TJQ
QG,CGK,UPG
QG,DJB,CGK
QG,DPS,BDO
QG,DPS,BPN
QG,DPS,CGK
QG,DPS,SUB
QG,JOG,BPN
QG,KOE,SUB
QG,LOP,SUB
QG,MDC,SUB
QG,PDG,BTH
QG,PDG,CGK
QG,PGK,CGK
QG,PKU,BTH
QG,PKU,CGK
QG,PLM,BTH
QG,PLM,CGK
QG,SUB,BDJ
QG,SUB,BPN
QG,SUB,BTH
QG,SUB,CGK
QG,SUB,DPS
QG,SUB,KOE
QG,SUB,LOP
QG,SUB,MDC
QG,TJQ,CGK
QG,UPG,BPN
QG,UPG,CGK
QZ,BDO,DPS
QZ,BDO,PKU
QZ,BDO,SUB
QZ,CGK,DPS
QZ,CGK,JOG
QZ,CGK,SUB
QZ,DPS,BDO
QZ,DPS,CGK
QZ,DPS,JOG
QZ,DPS,SUB
QZ,DPS,UPG
QZ,JOG,CGK
QZ,JOG,DPS
QZ,PKU,BDO
QZ,SUB,BDO
QZ,SUB,CGK
QZ,SUB,DPS
QZ,SUB,UPG
QZ,UPG,DPS
QZ,UPG,SUB
SJ,AMQ,UPG
SJ,BDJ,BPN
SJ,BDJ,CGK
SJ,BEJ,BPN
SJ,BIK,DJJ
SJ,BIK,UPG
SJ,BKS,CGK
SJ,BPN,BDJ
SJ,BPN,BEJ
SJ,BPN,CGK
SJ,BPN,JOG
SJ,BPN,PLW
SJ,BPN,SUB
SJ,BPN,TRK
SJ,BPN,UPG
SJ,BTH,CGK
SJ,BTH,DJB
SJ,CGK,BDJ
SJ,CGK,BKS
SJ,CGK,BPN
SJ,CGK,BTH
SJ,CGK,DJB
SJ,CGK,DPS
SJ,CGK,JOG
SJ,CGK,MLG
SJ,CGK,PDG
SJ,CGK,PGK
SJ,CGK,PKU
SJ,CGK,PLM
SJ,CGK,PNK
SJ,CGK,SOC
SJ,CGK,SRG
SJ,CGK,SUB
SJ,CGK,TJQ
SJ,CGK,TKG
SJ,CGK,TNJ
SJ,CGK,TTE
SJ,CGK,UPG
SJ,DJB,BTH
SJ,DJB,CGK
SJ,DJJ,BIK
SJ,DJJ,MKQ
SJ,DJJ,MKW
SJ,DJJ,TIM
SJ,DJJ,UPG
SJ,DPS,CGK
SJ,GTO,UPG
SJ,JOG,BPN
SJ,JOG,CGK
SJ,JOG,SUB
SJ,KDI,UPG
SJ,KOE,SUB
SJ,LUW,UPG
SJ,MDC,SUB
SJ,MDC,TTE
SJ,MKQ,DJJ
SJ,MKW,DJJ
SJ,MKW,SOQ
SJ,MKW,UPG
SJ,MLG,CGK
SJ,PDG,CGK
SJ,PGK,CGK
SJ,PGK,PLM
SJ,PKU,CGK
SJ,PLM,CGK
SJ,PLM,PGK
SJ,PLW,BPN
SJ,PLW,UPG
SJ,PNK,CGK
SJ,SOC,CGK
SJ,SOQ,MKW
SJ,SOQ,UPG
SJ,SRG,CGK
SJ,SRG,SUB
SJ,SUB,BPN
SJ,SUB,CGK
SJ,SUB,JOG
SJ,SUB,KOE
SJ,SUB,MDC
SJ,SUB,SRG
SJ,SUB,UPG
SJ,TIM,DJJ
SJ,TIM,UPG
SJ,TJQ,CGK
SJ,TKG,CGK
SJ,TNJ,CGK
SJ,TRK,BPN
SJ,TTE,CGK
SJ,TTE,MDC
SJ,TTE,UPG
SJ,UPG,AMQ
SJ,UPG,BIK
SJ,UPG,BPN
SJ,UPG,CGK
SJ,UPG,DJJ
SJ,UPG,GTO
SJ,UPG,KDI
SJ,UPG,LUW
SJ,UPG,MKW
SJ,UPG,PLW
SJ,UPG,SOQ
SJ,UPG,SUB
SJ,UPG,TIM
SJ,UPG,TTE
